Nom,Duree,Personnes,Type,Ingredients,Ustensiles,Etapes
Escargots au beurre persillé,28 min,4,Sauce,"['350g', 'de beurre ', '2gousses', ""d'ail "", '4c.à.s', 'c.à.s', 'de persil haché', '', 'poivre ', '', 'sel ', '4848', 'escargots et 48 coquilles', '44', 'échalotes ']","['Four', 'balance de cuisine', 'plat']","[{'Étape 1': ""Hachez les échalotes, pilez l'ail. M2langez avec le persil, du sel et du poivre. Taravillez le beurre en pommade avec ces ingrédients.""}, {'Étape 2': 'Déposez une noix de beurre dans chaque coquille, posez un esgarcot dessus puis recouvrez de beurre. Lissez bien la surface.'}, {'Étape 3': ""Placez les escargots dans un plat garni de haricots secs pour qu'ils tiennent bien et ne se renversent pas. Faites cuire 8 minutes au four à 240°C (thermostat 8).""}]"
Sauce au caramel et beurre salé,20 min,1,Sauce,"['100g', 'de sucre ', '1pincée', 'de fleur de sel ( facultatif)', '15cl', 'de crème liquide ', '60g', 'de beurre salé ']","['couteau', 'Micro-ondes', 'casserole', 'Cuillère en bois', 'Fouet cuisine', 'balance de cuisine']","[{'Étape 1': 'Couper votre beurre salé en dés (réserver).'}, {'Étape 2': 'Chauffer au micro-ondes la crème liquide.'}, {'Étape 3': 'Dans une casserole assez grande (pour une cuisson plus homogène) et en inox mettre votre sucre,'}, {'Étape 4': ""cuire a feu moyen sans eau, ne rien mettre d'autre dans la casserole, même pas une cuillère, vous pouvez remuer en tournant la casserole pour que la cuisson soit homogène. ""}, {'Étape 5': 'Attendre que le sucre devienne ambrée retirer du feu, ajouter votre crème bien chaude et votre beurre et fouetter énergiquement .'}, {'Étape 6': 'Remettre sur le feu doux, en fouettant vivement jusqu’à ce que le caramel soit bien dissous.'}, {'Étape 7': 'Mettre dans un petit pot et déguster !'}]"
Beurre maître d'hôtel,5 min,4,Sauce,"['75g', 'de beurre ', '1c.à.s', 'c.à.s', 'de persil ', '1⁄21⁄2', 'citron ', '', 'poivre ', '', 'sel ', '1⁄21⁄2', 'échalote ']","['film alimentaire', 'balance de cuisine']","[{'Étape 1': ""Mixez l'échalote, le persil et le beurre avec un peu de sel et de poivre. Ajoutez un peu de jus de citron et formez une pâte homogène.""}, {'Étape 2': ""Formez un rouleau, emballez dans du film alimentaire et placez au frais jusqu'au moment de servir.""}]"
Sauce au poivre toute simple,30 min,3,Sauce,"['40g', 'de beurre ', '30g', 'de farine ', '11', 'cube de bouillon de boeuf', '', 'poivre ', '1c.à.s', 'c.à.s', ""de vinaigre aromatisé à l'estragon ""]","['Cuillère en bois', 'balance de cuisine']","[{'Étape 1': 'Faire un roux avec le beurre et la farine. '}, {'Étape 2': ""Ajouter 1/4 l d'eau en une seule fois et bien mélanger. ""}, {'Étape 3': ""Ajouter le cube de bouillon, une cuillerée à soupe de vinaigre à l'estragon et une cuillerée à café de poivre mignonette. ""}, {'Étape 4': 'Faire épaissir.\nAjouter du sel si nécessaire (inutile en principe, à cause du bouillon).'}, {'Étape 5': 'Au moment de servir, ajouter du poivre moulu : non, ça ne fait pas double emploi avec le poivre mignonette ! '}, {'Étape 6': 'Allez-y molo quand même...'}]"
Sauce aux champignons pour steaks,20 min,2,Sauce,"['', 'champignon de Paris ou divers (environ 300 g)', '', 'persil ', '', 'ail ', '', 'poivre ', '', 'sel ', '', 'cognac (environ 5 cl)', '', 'fond de veau (une cuillère à café)', '', 'beurre ', '20cl', 'de crème liquide ']","['Cuillère en bois', 'balance de cuisine']","[{'Étape 1': 'Faire cuire doucement les champignons dans un peu de beurre. '}, {'Étape 2': 'Jeter les trois-quart du jus de cuisson et assaisonner avec le sel et le poivre.'}, {'Étape 3': ""Ajouter le persil et l'ail. ""}, {'Étape 4': 'Arroser de Cognac et flamber. '}, {'Étape 5': 'Ajouter la crème fluide très doucement en laissant épaissir. '}, {'Étape 6': ""Parsemer d'une cuillère à café de fond de veau et remuer. ""}, {'Étape 7': 'Ajuster selon le goût.'}]"
Sauce blanche pour kebab,5 min,4,Sauce,"['1⁄21⁄2', 'citron pressé', '1pincée', 'de piment doux', '1pincée', 'de cumin ', '1c.à.c', 'c.à.c', ""d'ail en poudre"", '1c.à.c', 'c.à.c', 'de herbes de Provence ', '', 'persil et de menthe', '', 'poivre ', '', 'sel ', '', 'lait ', '22', 'yaourts à la grecque ', '2c.à.c', 'c.à.c', 'de mayonnaise ', '1c.à.c', 'c.à.c', ""d'échalote finement émincée""]",['Cuillère en bois'],"[{'Étape 1': 'Mélanger tous les ingrédients, puis diluer un peu avec le lait de manière à obtenir la consistance désirée. '}, {'Étape 2': ""Goûter pour rectifier l'assaisonnement, c'est tout!""}, {'Étape 3': 'Voilà la recette authentique!'}]"
Sauce à l'échalote simple,10 min,1,Sauce,"['10cl', 'de vin blanc ', '4c.à.s', 'c.à.s', 'de crème fraîche ', '1filet', ""d'huile d'olive "", '1pincée', 'de sel ', '1pincée', 'de poivre ', '66', 'échalotes ']","['pôele', 'couteau', 'dénoyauteur']","[{'Étape 1': ""Émincer les échalotes et les faire revenir dans l'huile d'olive. ""}, {'Étape 2': 'Un fois dorées, y ajouter le vin blanc : laissez réduire puis ajoutez la crème fraîche et laisser fondre. '}, {'Étape 3': ""Vous pouvez également la réaliser avec des oignons, c'est délicieux !""}]"
Sauce gribiche,15 min,6,Sauce,"['45cl', ""d'huile de tournesol "", '1grosse c.à.c', 'grosse c.à.c', 'de moutarde ', '3c.à.s', 'c.à.s', 'de vinaigre ', '1c.à.s', 'c.à.s', 'de câpres ', '1c.à.s', 'c.à.s', 'de persil haché', '', 'poivre ', '', 'sel ', '33', 'oeufs durs', '33', 'cornichons ', '1c.à.s', 'c.à.s', ""d'estragon haché""]","['Fouet cuisine', 'four', 'fourchette']","[{'Étape 1': 'Faites cuire les oeufs durs. Ecalez-les et séparez les jaunes et les blancs.'}, {'Étape 2': ""Ecrasez les jaunes d'oeufs à la fourchette avec la moutarde. Incorporez le vinaigre et l'huile en fouettant comme pour une mayonnaise. Salez, poivrez.""}, {'Étape 3': ""Incorporez les cornichons et câpres hachés, puis le persil et l'estragon. Hachez les blancs d'oeufs et ajoutez-les.""}, {'Étape 4': 'Réservez au frais. Cette sauce est parfaite pour les viandes et poissons froids.'}]"
Sauce au beurre citronné (pour poisson),25 min,4,Sauce,"['11', 'citron ', '20cl', 'de crème fraîche ', '100g', 'de beurre ']","['Set 3 poêles', 'presse agrume', 'bol', 'balance de cuisine']","[{'Étape 1': ""Presser le jus d'un citron dans la poêle, et le faire 'glacer'. ""}, {'Étape 2': ""Attendre l'évaporation de tout le jus, et il se formera comme des cristaux au fond de la poêle...""}, {'Étape 3': 'Rajouter 20 cl de crème fraîche. '}, {'Étape 4': 'Quand elle commence juste a brunir, verser le tout dans un bol. Puis, ajouter immédiatement le beurre.'}, {'Étape 5': ""Tourner quand le beurre a fondu : c'est prêt. Servir cette sauce avec un poisson blanc.""}]"
Ma sauce tomate maison,1 h 40 min,1,Sauce,"['1.5kg', 'de tomate ', '1filet', ""d'huile d'olive "", '', 'basilic et origan', '11', 'oignon ', '11', 'sucre ', '1demi', 'de bouillon de boeuf ', '1petite poignée', 'de gros sel ']","['Cocotte en fonte', 'Couteau', 'Cuillère en bois', 'Couvercle', 'pôele', 'dénoyauteur', 'balance de cuisine']","[{'Étape 1': 'Couper les tomates en petits quartiers en enlevant la partie verte, et les mettre dans un pot type cocotte minute. Faire cuire à feu moyen: les tomates vont baigner dans le jus.'}, {'Étape 2': 'Faire réduire les tomates à 3/4 de la hauteur maximale du ""jus"" dans le pot. Une petite écume apparait. A la fin de la cuisson (15 min environ sans couvrir), les tomates ne doivent pas être en bouillie! Il faut donc surveiller et bien remuer pour qu\'elles n\'attachent pas.'}, {'Étape 3': 'Ensuite vider le pot en plusieurs fois dans un moulin à légumes et passer la future sauce.'}, {'Étape 4': ""Puis faire revenir dans une cocotte en fonte les oignons dans un filet d'huile d'olive. Laisser les oignons devenir transparents.""}, {'Étape 5': ""Puis rajouter votre litre de sauce tomate. Faire cuire à feu moyen afin qu'elle bout pendant 15 min environ (sans couvrir):pendant cette étape vous faites réduire votre sauce à votre convenance, épaisse ou non.""}, {'Étape 6': ""Puis dès que sa consistance vous plait, faire cuire à feu doux, couvrir (il faut qu'elle mijote tout doucement) et rajouter le sucre, le demi-cube de bouillon de bœuf, les épices (basilic et origan),la petite poignée de gros sel. Faire cuire au minimum 1h et surveiller.""}]"
Sauce béarnaise facile ,30 min,6,Sauce,"['5c.à.s', 'c.à.s', 'de vin blanc ', '3c.à.s', 'c.à.s', 'de vinaigre de vin ', '150g', 'de beurre ', '', 'poivre ', '', 'sel ', '22', ""jaunes d'oeuf "", '3c.à.s', 'c.à.s', ""d'estragon frais ou séché"", '11', 'échalote émincée très finement']","['Fouet cuisine', 'Cuillère en bois', 'balance de cuisine']","[{'Étape 1': ""Dans un poêlon, verser le vin blanc, le vinaigre ainsi que 2 cuillères d'estragon, sel, poivre ainsi que l'échalote émincée.""}, {'Étape 2': 'Faire cuire +/- 10 minutes afin de réduire un peu.'}, {'Étape 3': 'Retirer du feu et attendre quelques minutes. Ajouter les 2 jaunes et fouetter.'}, {'Étape 4': ""Remettre sur le feu doux et mélanger sans arrêt pour monter la béarnaise. Attention les jaunes d'oeufs cuisent à 70° donc bien mélanger et surveiller la cuisson.""}, {'Étape 5': 'Dès que le sabayon est pris, retirer du feu et ajouter le beurre bien froid coupé en petits morceaux (morceau par morceau)'}, {'Étape 6': 'Bien mélanger au fouet.'}, {'Étape 7': ""Rectifier l'assaisonnement et ajouter l'estragon restant.""}]"
Sauce hollandaise,20 min,4,Sauce,"['200g', 'de beurre ', '1⁄21⁄2', 'citron ', '', 'poivre ', '', 'sel ', '33', ""jaunes d'oeuf ""]","['Fouet cuisine', 'balance de cuisine']","[{'Étape 1': 'Pressez le jus du citron, réservez. Coupez le beurre en dés.'}, {'Étape 2': ""Battez les jaunes d'oeufs avec 2 cuillerées à soupe d'eau froide.""}, {'Étape 3': ""Placez dans un bain-marie chaud et fouettez jusqu'à l'obtention d'une crème mousseuse et légère.""}, {'Étape 4': 'Ajoutez alors le beurre en morceaux en plusieurs fois, en fouettant bien à chaque fois.'}, {'Étape 5': 'Salez, poivrez et incorporez le jus du citron avant de servir.'}]"
Sauce au beurre blanc pour poisson,15 min,2,Sauce,"['10cl', 'de crème fraîche ', '40g', 'de beurre ', '1⁄2verre', 'de vin blanc sec ', '1⁄21⁄2', 'citron ', '11', 'échalote ']","['Couteau', 'casserole', 'Fouet cuisine', 'balance de cuisine']","[{'Étape 1': 'Couper finement une échalote.'}, {'Étape 2': 'Dans une casserole, sur feu doux, faire suer l’échalote avec ½  verre de vin blanc et le jus d’un demi-citron. Laisser un peu évaporer le vin et le citron. '}, {'Étape 3': 'On peut exécuter cette étape un peu à l’avance, pendant la cuisson du poisson par exemple.'}, {'Étape 4': 'Au moment de servir, faire fondre 30 à 40 grammes de beurre dans la sauce, puis délayer avec 10 cl de crème fraîche.'}]"
Sauce tomate à tout faire de Jacqueline,50 min,1,Sauce,"['2kg', 'de tomate longues mûres (en saison)', '1gousse', ""d'ail "", '', 'herbes de Provence  laurier (4 feuilles), thym, sarriette, romarin, marjolain', '11', 'cube de bouillon ', '1grain', 'de sucre ', '1boîte', 'de concentré de tomates à 28%', '', 'poivre ', '', 'sel ', '', ""huile d'olive "", '2boîtes', 'de tomates pelées au jus (hors saison)', '11', 'oignon blanc ']","['sauteuse', 'wok', 'Set 3 poêles', 'Mixeur', 'Top des meilleures plaques à four', 'Four', 'saladier', 'Mijoteuse électrique', 'Frigo', 'dénoyauteur', 'balance de cuisine']","[{'Étape 1': ""Hacher l'oignon, le faire revenir avec l'huile dans un wok ou une sauteuse.""}, {'Étape 2': ""Quand l'oignon est transparent, ajouter les tomates fraîches coupées en morceaux, ou les tomates en conserve avec leur jus, en laissant la peau et les graines.""}, {'Étape 3': ""Mettre l'ail entier, les herbes (ne pas trop mettre de romarin).""}, {'Étape 4': 'Faire mijoter 20 à 30 min pour que le jus se concentre.'}, {'Étape 5': 'Passer la purée de tomate au moulin à légumes (grille moyenne ou fine). Les peaux et pépins restent sur la grille et on obtient une sauce onctueuse.'}, {'Étape 6': ""Remettre la sauce dans la sauteuse avec encore 1 à 2 cuillerées d'huile d'olive, le cube de bouillon bien écrasé, le sucre et le concentré de tomate. Bien dissoudre. Faire mijoter encore 10 min.""}, {'Étape 7': 'Laisser refroidir, mettre en boîte ou en bouteille.'}, {'Étape 8': 'Elle se conserve 8 jours au réfrigérateur.'}, {'Étape 9': ""Cette sauce s'utilise :""}, {'Étape 10': '- nature pour accommoder les pâtes, napper les lasagnes (déjà précuites), les cannellonis, les cubes de polenta avant passage au four avec du gruyère éventuellement.'}, {'Étape 11': '- comme fond de pizza à garnir '}, {'Étape 12': '- pour donner de la couleur à la soupe au pistou ou à une marinade de viande'}, {'Étape 13': ""- mélangée à du basilic ciselé et 1/2 gousse d'ail hachée pour un 'pesto' rouge""}, {'Étape 14': '- mélangée à des câpres hachées  pour accommoder de la morue ou autre poisson'}, {'Étape 15': ""- mélangée à un coulis de poivron ou une purée d'aubergines sautées""}, {'Étape 16': '- mélangée à quelques gouttes de sauce pimentée'}, {'Étape 17': '- mélangée à un jus de daube pour accompagner des grosses pâtes'}, {'Étape 18': 'On peut y rajouter, saucisses, chorizo , lardons ou viande hachée revenue.'}]"
Pesto de coriandre,10 min,10,Sauce,"['1botte', 'de coriandre fraîche', '2gousses', ""d'ail "", '80g', ""d'amandes entières"", '8c.à.s', 'c.à.s', ""d'huile d'olive "", '', 'sel ', '', 'poivre ']","['Mixeur', 'bol', 'Cuillère en bois', 'dénoyauteur', 'Frigo']","[{'Étape 1': ""Mettre les ingrédients secs dans le bol d'un mixeur et mixer quelques secondes.""}, {'Étape 2': ""Puis, installé dans le mixeur l'ustensile pour remuer et ajouter petit à petit l'huile d'olive (comme pour faire une mayonnaise).""}, {'Étape 3': 'Cette sauce se conserve très bien au réfrigérateur et accompagnera poissons, légumes et viandes.'}]"
Sauce au madère,20 min,4,Sauce,"['10cl', 'de crème fraîche ', '15g', 'de maïzena ', '11', 'cube de bouillon de volaille', '4c.à.s', 'c.à.s', 'de madère ', '22', 'échalotes ']","['Set 3 poêles', 'Mixeur', 'Cuillère en bois', 'balance de cuisine']","[{'Étape 1': 'Hacher les échalotes et les faire revenir dans un peu de beurre.'}, {'Étape 2': ""Préparer le bouillon de volaille avec 25 cl d'eau.""}, {'Étape 3': ""Quand il bout, épaissir avec la maïzena délayée dans un peu d'eau.""}, {'Étape 4': 'Ajouter le madère, la crème fraîche et les échalotes.'}, {'Étape 5': ""Mélanger, c'est prêt.""}]"
Chimichurri,10 min,3,Sauce,"['2bottes', 'de coriandre ', '1⁄2botte', 'de persil plat', '3gousses', ""d'ail "", '4c.à.s', 'c.à.s', ""d'huile d'olive "", '', 'poivre au goût', '', 'sel ', '11', 'citron vert pressé']","['robot pâtissier', 'Mixeur']","[{'Étape 1': ""Peler les gousses d'ail et les dégermer.""}, {'Étape 2': 'Laver les herbes et enlever les grosses tiges. Mettre tous les ingrédients au robot. Mixer le tout.'}]"
Sauce onctueuse aux 3 fromages,20 min,70,Sauce,"['25g', 'de beurre ', '2c.à.s', 'c.à.s', 'de farine ', '20cl', 'de lait ', '15cl', 'de crème fraîche ', '80g', 'de bleu ', '50g', 'de fromage de chèvre ']","['casserole', 'saladier', 'Cuillère en bois', 'balance de cuisine']","[{'Étape 1': 'Faire fondre le beurre dans une casserole.'}, {'Étape 2': 'Ajouter peu à peu la farine, tout en mélangeant.'}, {'Étape 3': 'Ajouter ensuite les fromage tout en continuant de mélanger.'}, {'Étape 4': 'Ajouter le lait, puis la crème fraîche.'}, {'Étape 5': ""Remuer jusqu'à ce que la texture soit homogène.""}]"
Béchamel facile au Thermomix,11 min,4,Sauce,"['60g', 'de farine ', '50g', 'de beurre doux ', '50cl', 'de lait ', '1grosse pincée', 'de muscade rapée ', '1c.à.c', 'c.à.c', 'de sel ']","['bol', 'Thermomix', 'balance de cuisine']","[{'Étape 1': 'Tout placer dans le bol du Thermomix (le beurre doit être en petits morceaux).'}, {'Étape 2': 'Lancer 8 minutes à 90°C à vitesse 5.'}, {'Étape 3': 'Donner 2 ou 3  tours de moulin à poivre.'}]"
Sauce chien (Antilles),12 min,4,Sauce,"['11', 'oignon ', '', 'persil ', '11', 'citron ', '15cl', ""d'huile "", '', 'vinaigre ', '', 'eau bouillante', '1c.à.s', 'c.à.s', 'de ciboulette ', '22', 'échalotes ', '1⁄4c.à.c', 'c.à.c', 'de petit piment frais haché']","['Mixeur', 'casserole', 'bol']","[{'Étape 1': ""Porter l'eau à ébullition. Hacher finement oignon, échalotes, persil, piment.""}, {'Étape 2': 'Verser le tout dans un grand bol,'}, {'Étape 3': ""ajouter le jus d'un citron, sel, poivre, vinaigre et huile.""}, {'Étape 4': ""Verser dessus 1 à 2 verre d'eau bouillante, laisser infuser.""}, {'Étape 5': ""Cette spécialité antillaise (attention, c'est fort) accompagne parfaitement grillades, viandes et poisson.""}, {'Étape 6': ""En l'agrémentant d'une cuillère à soupe de moutarde, elle accompagne idéalement le riz.""}]"
Sauce salsa,30 min,4,Sauce,"['1⁄2verre', ""d'eau "", '1⁄21⁄2', 'poivron rouge ', '1⁄21⁄2', 'poivron vert ', '22', 'oignons ', '1⁄2gousse', ""d'ail "", '140g', 'de concentré de tomates ', '44', 'tomates ', '1c.à.s', 'c.à.s', ""d'huile d'olive "", '1pincée', 'de sucre ', '', 'épices  paprika (1 c. à spe)', '', 'cumin (1 c. à spe)', '', 'coriandre (1 c. à spe)', '', 'épices à te mex (2 c. à spe)', '11', 'petit piment vert']","['Couteau', 'Mixeur', 'Set 3 poêles', 'dénoyauteur', 'balance de cuisine']","[{'Étape 1': '- couper en dés les poivrons après les avoir épépiner'}, {'Étape 2': '- mixer oignons et ail'}, {'Étape 3': '- couper en mini dés le piment'}, {'Étape 4': '- couper les tomates en dés'}, {'Étape 5': ""Faire chauffer dans une poêle une cuillère d'huile d'olive; y mettre la mixture oignons / ail et ajouter la pincée de sucre à feu moyen jusqu'à ce qu'elle soit translucide.""}, {'Étape 6': 'Passer à feu doux.'}, {'Étape 7': ""Ajouter les poivrons, les tomates et le piment. Ajouter le 1/2 verre d'eau (qui va être bu par les aliments). ""}, {'Étape 8': 'Ajouter le concentré de tomates.'}, {'Étape 9': 'Ajouter les épices et le sel.'}]"
Coulis de framboises,20 min,4,Sauce,"['200g', 'de sucre ', '20cl', ""d'eau "", '500g', 'de framboises ']","['chinois', 'casserole', 'Mixeur', 'Tamis', 'balance de cuisine']","[{'Étape 1': ""Porter l'eau et le sucre à ébullition.""}, {'Étape 2': 'Ajouter ce sirop aux framboises et mixer.'}, {'Étape 3': 'Passer le coulis au tamis afin d’ôter les pépins.'}]"
"Sauce mousseline froide pour asperges, légumes ...",15 min,4,Sauce,"['1c.à.c', 'c.à.c', 'de moutarde ', '1⁄4l', ""d'huile d'olive (de préférence)"", '', 'poivre ', '', 'sel ', '', 'jus de citron ', '11', 'oeuf ']","['Fouet cuisine', 'Couvercle']","[{'Étape 1': ""Cassez l'oeuf en séparant le blanc et le jaune. ""}, {'Étape 2': ""Monter une mayonnaise avec le jaune, la moutarde, l'huile, ajouter le sel et le poivre. ""}, {'Étape 3': ""Monter au fouet le blanc en neige puis l'incorporer délicatement à la mayonnaise. ""}, {'Étape 4': 'Ajouter un peu de jus de citron. '}, {'Étape 5': ""Couvrir d'un film transparent et tenir au frais jusqu'au moment de servir.""}]"
Béchamel,15 min,6,Sauce,"['50g', 'de farine ', '50g', 'de beurre ', '60cl', 'de lait ', '', 'sel ', '', 'poivre ', '', 'muscade râpée']","['casserole', 'Cuillère en bois', 'Râpe', 'balance de cuisine']","[{'Étape 1': 'Faites fondre le beurre dans une casserole à fond épais. '}, {'Étape 2': 'Ajoutez la farine et remuez avec une cuillère de bois sans laisser colorer. La farine doit juste épaissir.'}, {'Étape 3': ""Versez le lait progressivement, sans cesser de remuer, jusqu'à ce que la sauce épaississe. ""}, {'Étape 4': 'Assaisonnez de sel, poivre et muscade râpée.'}]"
Mayonnaise maison,10 min,4,Sauce,"['1c.à.s', 'c.à.s', 'de moutarde de Dijon ', '1filet', 'de vinaigre ', '10cl', ""d'huile neutre"", '', 'sel ', '', 'poivre ', '11', ""jaune d'oeuf ""]","['saladier', 'Fouet cuisine']","[{'Étape 1': ""Les ingrédients doivent être à température ambiante.\nMélangez le jaune d'oeuf, un peu de sel, poivre, la moutarde et le vinaigre.""}, {'Étape 2': ""Fouetter en versant peu à peu l'huile, la mayonnaise doit peu à peu épaissir.""}, {'Étape 3': 'On peut y ajouter des herbes ou du citron pour la parfumer.'}]"
Béchamel rapide et facile,7 min,4,Sauce,"['25cl', 'de lait ', '20g', 'de beurre ', '2c.à.s', 'c.à.s', 'de farine ', '', 'sel ', '', 'poivre ']","['Micro-ondes', 'Fouet cuisine', 'saladier', 'Grands récipient', 'balance de cuisine']","[{'Étape 1': 'Dans un grand récipient, faire fondre le beurre 1 minute au micro-ondes.\nLe sortir et ajouter la farine en remuant bien.'}, {'Étape 2': 'Porter le lait à ébullition, le laisser bouillir quelques instants.'}, {'Étape 3': 'Verser le lait sur le mélange farine/beurre en fouettant. Assaisonner.'}, {'Étape 4': 'Remettre le tout au micro-ondes pendant 1 minute.'}, {'Étape 5': ""Bien fouetter, c'est prêt !""}]"
Sauce pour poisson,15 min,4,Sauce,"['20g', 'de beurre ', '4c.à.s', 'c.à.s', 'de jus de citron jaune', '', 'herbes de Provence (ou herbes fraîches si vous préférez)', '1grosse c.à.s', 'grosse c.à.s', 'de moutarde ', '', 'poivre ', '', 'sel ', '1c.à.s', 'c.à.s', 'de maïzena ou autre (si vous préférez les sauces plus épaisses)', '40cl', 'de crème liquide ']","['casserole', 'Cuillère en bois', 'balance de cuisine']","[{'Étape 1': 'Faire fondre le beurre dans une casserole et déglacer avec le jus de citron.'}, {'Étape 2': 'Ajouter la crème et la moutarde, bien mélanger.'}, {'Étape 3': 'Assaisonner à votre goût avec le sel, le poivre et les herbes.'}, {'Étape 4': 'Laisser cuire environ 5 minutes à feu doux. Ajouter éventuellement de la maizena pour épaissir la sauce.'}, {'Étape 5': 'Servir pour accompagner votre poisson. Bon appétit !'}]"
Vinaigrette simple et rapide,2 min,1,Sauce,"['1c.à.c', 'c.à.c', 'de moutarde ', '2c.à.s', 'c.à.s', 'de vinaigre ', '3c.à.s', 'c.à.s', ""d'huile d'olive "", '', 'poivre ', '', 'sel ']","['saladier', 'Fouet cuisine']","[{'Étape 1': ""Mélangez la moutarde et le vinaigre. Ajoutez ensuite l'huile. Mélangez bien, voilà c'est prêt !""}]"
Sauce pesto,30 min,2,Sauce,"['30g', 'de pignons de pin', '3gousses', ""d'ail "", '12.5cl', ""d'huile d'olive "", '50g', 'de Parmesan ', '', 'poivre ', '', 'sel ', '60g', 'de basilic frais ']","['couteau', 'Mixeur']","[{'Étape 1': 'Emincez les gousses d’ail et les couper en petits morceaux.'}, {'Étape 2': 'Hachez le basilic.'}, {'Étape 3': 'Mixez les pignons, l’ail, l’huile et le parmesan.'}, {'Étape 4': 'A la fin rajoutez le basilic et mixer encore une fois jusqu’à ce que la sauce soit lisse.'}, {'Étape 5': 'Assaisonnez de sel et poivre'}, {'Étape 6': 'Vous pouvez ensuite conservez cette sauce dans des petits pots de bébé en la congelant ou en la stérilisant'}]"
Sauce bolognaise facile,1 h 15 min,4,Sauce,"['11', 'oignon ', '2gousses', ""d'ail "", '22', 'carottes et 1 navet', '400g', 'de boeuf haché ', '1petite boîte', 'de champignon entiers', '20cl', 'de vin blanc ', '4pincées', 'de sucre en poudre ', '', 'poivre ', '', 'sel ', '', 'herbes de Provence ', '22', 'feuilles de laurier ', '20cl', 'de bouillon de boeuf ', '1bocal', 'de tomates pelées (environ 720 g) avec son jus', '1petite boîte', 'de double concentré de tomates (environ 70 g)']","['bol', 'sauteuse', 'Cuillère en bois', 'pôele', 'saladier', 'Couvercle', 'dénoyauteur', 'balance de cuisine']","[{'Étape 1': ""La cuisson se fait dans une sauteuse. Faire revenir dans de l'huile d'olive chaude l'oignon et les 2 gousses d'ail grossièrement hachés, à petit feu pour ne pas qu'ils brûlent. Mélanger souvent.""}, {'Étape 2': 'Quand les oignons ont blondis, rajouter les carottes et le navet coupés en petits dés et cuire à feu moyen 5 mn tout en mélangeant souvent. '}, {'Étape 3': ""Ajouter 400 g de boeuf haché et cuire en mélangeant souvent, jusqu'à ce que la viande soit un peu cuite. ""}, {'Étape 4': 'Ajouter les champignons et mélanger. '}, {'Étape 5': ""Ajouter le vin et laisser mijoter à feu moyen jusqu'à ce que le vin se soit presque entièrement évaporé. ""}, {'Étape 6': 'Ajouter le bocal de tomates et la boîte de concentré et mélanger. Baisser le feu. '}, {'Étape 7': 'Ajouter 4 pincées de sucre en poudre, sel et poivre (attnetion, pas de trop, il vaut mieux en rajouter par la suite), éventuelles herbes de Provence et feuilles de laurier. '}, {'Étape 8': ""Mélanger puis laisser cuire 45 mn à 1h environ, jusqu'à ce que le jus des tomates pelées soit pratiquement disparu. Mélanger de temps en temps pendant la cuisson et surtout ne pas couvrir d'un couvercle.""}, {'Étape 9': 'Oter les feuilles de laurier et servez'}]"
Escargots au beurre persillé,28 min,4,Sauce,"['350g', 'de beurre ', '2gousses', ""d'ail "", '4c.à.s', 'c.à.s', 'de persil haché', '', 'poivre ', '', 'sel ', '4848', 'escargots et 48 coquilles', '44', 'échalotes ']","['Four', 'balance de cuisine', 'plat']","[{'Étape 1': ""Hachez les échalotes, pilez l'ail. M2langez avec le persil, du sel et du poivre. Taravillez le beurre en pommade avec ces ingrédients.""}, {'Étape 2': 'Déposez une noix de beurre dans chaque coquille, posez un esgarcot dessus puis recouvrez de beurre. Lissez bien la surface.'}, {'Étape 3': ""Placez les escargots dans un plat garni de haricots secs pour qu'ils tiennent bien et ne se renversent pas. Faites cuire 8 minutes au four à 240°C (thermostat 8).""}]"
Sauce au caramel et beurre salé,20 min,1,Sauce,"['100g', 'de sucre ', '1pincée', 'de fleur de sel ( facultatif)', '15cl', 'de crème liquide ', '60g', 'de beurre salé ']","['couteau', 'Micro-ondes', 'casserole', 'Cuillère en bois', 'Fouet cuisine', 'balance de cuisine']","[{'Étape 1': 'Couper votre beurre salé en dés (réserver).'}, {'Étape 2': 'Chauffer au micro-ondes la crème liquide.'}, {'Étape 3': 'Dans une casserole assez grande (pour une cuisson plus homogène) et en inox mettre votre sucre,'}, {'Étape 4': ""cuire a feu moyen sans eau, ne rien mettre d'autre dans la casserole, même pas une cuillère, vous pouvez remuer en tournant la casserole pour que la cuisson soit homogène. ""}, {'Étape 5': 'Attendre que le sucre devienne ambrée retirer du feu, ajouter votre crème bien chaude et votre beurre et fouetter énergiquement .'}, {'Étape 6': 'Remettre sur le feu doux, en fouettant vivement jusqu’à ce que le caramel soit bien dissous.'}, {'Étape 7': 'Mettre dans un petit pot et déguster !'}]"
Beurre maître d'hôtel,5 min,4,Sauce,"['75g', 'de beurre ', '1c.à.s', 'c.à.s', 'de persil ', '1⁄21⁄2', 'citron ', '', 'poivre ', '', 'sel ', '1⁄21⁄2', 'échalote ']","['film alimentaire', 'balance de cuisine']","[{'Étape 1': ""Mixez l'échalote, le persil et le beurre avec un peu de sel et de poivre. Ajoutez un peu de jus de citron et formez une pâte homogène.""}, {'Étape 2': ""Formez un rouleau, emballez dans du film alimentaire et placez au frais jusqu'au moment de servir.""}]"
